detailed_work_activity,impact,intermediate_work_activity,element
"Calculate weights, volumes or other characteristics of materials.",0.008449745800602315,"Measure physical characteristics of materials, products, or equipment.","Estimating the Quantifiable Characteristics of Products, Events, or Information"
Calibrate equipment to specifications.,0.059741561722084224,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Calibrate scientific or technical equipment.,0.023712055723710712,Adjust equipment to ensure adequate performance.,Handling and Moving Objects
Capture or kill animals.,-0.20207898801735436,Hunt animals.,Handling and Moving Objects
Care for animals.,-1.0831469147602517,Care for plants or animals.,Assisting and Caring for Others
Care for patients with mental illnesses.,0.08141537015648703,"Treat injuries, illnesses, or diseases.",Assisting and Caring for Others
Care for plants or animals.,0.04976514163770496,Care for plants or animals.,Assisting and Caring for Others
Care for women during pregnancy and childbirth.,0.0122260411975752,Administer basic health care or medical treatments.,Assisting and Caring for Others
Cast molds of patient anatomies to create medical or dental devices.,-0.008000546444201007,Fabricate medical devices.,Handling and Moving Objects
Check data for recording errors.,-0.14850783974692128,Evaluate the quality or accuracy of data.,Processing Information
Check physical condition of people or animals.,0.02305358303998739,Examine people or animals to assess health conditions or physical characteristics.,"Inspecting Equipment, Structures, or Material"
Check quality of diagnostic images.,0.0,Evaluate the quality or accuracy of data.,Processing Information
Check quality of foods or supplies.,0.051029042644580525,Inspect completed work or finished products.,"Inspecting Equipment, Structures, or Material"
Choose optimal transportation routes or speeds.,-0.16991796718817032,Determine operational methods or procedures.,Making Decisions and Solving Problems
Choreograph dances.,-0.029528879427275445,Create artistic designs or performances.,Thinking Creatively
Classify materials according to standard systems.,0.007334118904124498,Perform administrative or clerical activities.,Performing Administrative Activities
Classify organisms based on their characteristics or behavior.,-0.03671188881179299,Research biological or ecological phenomena.,Getting Information
Clean building walls or flooring.,0.18058633212537245,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean equipment or facilities.,0.33077155285750415,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean equipment or supplies.,0.3701529565981545,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
"Clean equipment, parts, or tools to repair or maintain them in good working order.",0.8132081393403587,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean fabrics or apparel.,-0.3203514093125679,"Clean workpieces, finished products, or other objects.",Performing General Physical Activities
Clean facilities or equipment.,0.006503945891900287,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean facilities or sites.,0.22515630588910263,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean facilities or work areas.,0.011106408945039892,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
"Clean food preparation areas, facilities, or equipment.",-0.1088684685668202,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean food service areas.,-0.07488955721430557,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean furniture or fixtures.,-0.26082077590408126,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean machinery or equipment.,-0.017747241247063172,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean materials to prepare them for production.,0.19484756110663648,"Clean workpieces, finished products, or other objects.",Performing General Physical Activities
Clean medical equipment or facilities.,0.014040042065798453,Clean medical equipment or facilities.,Performing General Physical Activities
Clean medical equipment.,-0.17511230865609173,Clean medical equipment or facilities.,Performing General Physical Activities
Clean objects.,-0.13411818374499518,"Clean workpieces, finished products, or other objects.",Performing General Physical Activities
Clean patient rooms or patient treatment rooms.,0.12819020592728014,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean production equipment.,-1.278947728677346,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean surfaces in preparation for work activities.,0.04830559078359542,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean tableware.,-0.026964152509081796,"Clean workpieces, finished products, or other objects.",Performing General Physical Activities
Clean tools or equipment.,0.030570185194989552,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean vehicles or vehicle components.,0.3580256034631777,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
Clean vessels or marine equipment.,-0.18469269744467454,"Clean tools, equipment, facilities, or work areas.",Performing General Physical Activities
